url,name,ticker,address,sector,price,trend,month_return,month_return_pct,Company Type,Listing Status,Industry Sector,Investment Sector,Ticker,Exchange,Previous Day Close,Current Day High & Low,Day's Volume,30 Day Average Volume,52 Week High & Low,Market Cap,Prev. Quarter Dividend,Yield,Prev. Quarter FFO
https://www.reit.com/investing/reit-directory/geo-group,The GEO Group,GEO,"Boca Raton, Florida",Specialty,$23.88,,-1.33,-0.05%,REIT,Public,Specialty,Equity,GEO,"New York Stock Exchange, Inc. (NYSE)",$23.41,$23.32 - $22.79,"459,209","611,351",$30.80 - $19.65,$2.91 bil,$0.47,8.03,$317.22 mil
https://www.reit.com/investing/reit-directory/stag-industrial-inc,"STAG Industrial, Inc.",STAG,"Boston, Massachusetts",Industrial,$27.00,up,0.58,0.02%,REIT,Public,Industrial,Equity,STAG,"New York Stock Exchange, Inc. (NYSE)",$27.03,$27.00 - $26.60,"464,877","859,298",$28.99 - $22.58,$2.94 bil,,5.25,$168.96 mil
https://www.reit.com/investing/reit-directory/ltc-properties-inc,"LTC Properties, Inc.",LTC,"Westlake Village, California",Health care,$47.55,up,0.57,0.01%,REIT,Public,Health care,Equity,LTC,"New York Stock Exchange, Inc. (NYSE)",$44.00,$44.76 - $43.71,"458,036","246,716",$52.65 - $34.85,$1.89 bil,,5.18,$120.09 mil
https://www.reit.com/investing/reit-directory/qts-realty-trust-inc,"QTS Realty Trust, Inc.",QTS,"Overland Park, Kansas",Data centers,N/A,up,0.56,0.01%,REIT,Public,Data centers,Equity,QTS,"New York Stock Exchange, Inc. (NYSE)",$41.62,$42.17 - $40.26,"315,031","478,824",$61.04 - $32.27,$0.00,$0.41,3.94,$178.44 mil
https://www.reit.com/investing/reit-directory/host-hotels-resorts-inc,"Host Hotels & Resorts, Inc.",HST,"Bethesda, Maryland",Lodging / Resorts,$19.23,up,0.50,0.03%,REIT,Public,Lodging/Resorts,Equity,HST,"New York Stock Exchange, Inc. (NYSE)",$18.85,$18.86 - $18.39,"6,344,341","6,525,716",$22.25 - $17.38,$14.27 bil,$0.20,4.24,"$1,281.00 mil"
https://www.reit.com/investing/reit-directory/retail-value-inc,Retail Value Inc.,RVI,"Beachwood, Ohio",Retail,N/A,up,0.49,0.02%,REIT,Public,Retail,Equity,RVI,"New York Stock Exchange, Inc. (NYSE)",$29.02,$29.46 - $28.55,"27,134","72,525",$37.36 - $0.00,$0.00,$0.00,0.00,$94.59 mil
https://www.reit.com/investing/reit-directory/vereit-inc,"VEREIT, Inc.",VER,"New York, New York",Diversified,$7.87,up,0.57,0.08%,REIT,Public,Diversified,Equity,VER,"New York Stock Exchange, Inc. (NYSE)",$7.90,$7.88 - $7.78,"8,152,873","9,206,949",$8.68 - $6.59,$7.61 bil,$0.14,6.96,$783.17 mil
https://www.reit.com/investing/reit-directory/colony-capital-inc-0,"Colony Capital, Inc.",CLNY,"Los Angeles, California",Diversified,$6.40,up,0.43,0.08%,REIT,Public,Diversified,Equity,CLNY,"New York Stock Exchange, Inc. (NYSE)",$6.15,$6.19 - $6.01,"2,645,849","2,747,585",$14.70 - $5.46,$3.14 bil,$0.11,7.15,$866.78 mil
https://www.reit.com/investing/reit-directory/independence-realty-trust,Independence Realty Trust,IRT,"Philadelphia, Pennsylvania",Residential,$10.40,up,0.52,0.05%,REIT,Public,Residential,Equity,IRT,NYSE American (NYSEMKT),$10.34,$10.45 - $10.27,"648,477","526,203",$10.57 - $8.28,$934.13 mil,,6.96,$54.45 mil
https://www.reit.com/investing/reit-directory/tanger-factory-outlet-centers-inc,"Tanger Factory Outlet Centers, Inc.",SKT,"Greensboro, North Carolina",Retail,$24.54,up,2.69,0.13%,REIT,Public,Retail,Equity,SKT,"New York Stock Exchange, Inc. (NYSE)",$24.19,$24.65 - $24.10,"1,583,312","1,352,363",$27.67 - $20.04,$2.30 bil,$0.35,5.79,$276.65 mil
https://www.reit.com/investing/reit-directory/alexandria-real-estate-equities-inc,"Alexandria Real Estate Equities, Inc.",ARE,"Pasadena, California",Office,$127.90,up,3.84,0.03%,REIT,Public,Office,Equity,ARE,"New York Stock Exchange, Inc. (NYSE)",$127.08,$127.42 - $125.19,"816,870","617,805",$134.03 - $114.58,$13.75 bil,$0.93,3.05,$545.36 mil
https://www.reit.com/investing/reit-directory/healthcare-trust-america-inc,"Healthcare Trust of America, Inc.",HTA,"Scottsdale, Arizona",Health care,$29.20,up,2.47,0.09%,REIT,Public,Health care,Equity,HTA,"New York Stock Exchange, Inc. (NYSE)",$29.09,$29.05 - $28.52,"1,445,978","1,777,267",$31.99 - $24.32,$6.16 bil,$0.31,4.26,$298.33 mil
https://www.reit.com/investing/reit-directory/caretrust-reit-inc,"CareTrust REIT, Inc.",CTRE,"San Clemente, California",Health care,$20.16,up,2.65,0.15%,REIT,Public,Health care,Equity,CTRE,NASDAQ (NASDAQ),$20.20,$20.26 - $19.96,"856,869","859,335",$20.35 - $12.87,$1.69 bil,$0.21,4.06,$93.22 mil
https://www.reit.com/investing/reit-directory/udr-inc,"UDR, Inc.",UDR,"Highlands Ranch, Colorado",Residential,$50.20,up,3.35,0.08%,REIT,Public,Residential,Equity,UDR,"New York Stock Exchange, Inc. (NYSE)",$42.91,$42.98 - $42.26,"2,483,600","1,983,314",$42.91 - $32.92,$22.69 bil,$0.32,3.01,$691.93 mil
https://www.reit.com/investing/reit-directory/medical-properties-trust-inc,Medical Properties Trust Inc.,MPW,"Birmingham, Alabama",Health care,$17.66,up,2.54,0.17%,REIT,Public,Health care,Equity,MPW,"New York Stock Exchange, Inc. (NYSE)",$17.49,$17.43 - $16.85,"12,131,385","3,297,129",$17.49 - $11.88,$6.44 bil,$0.25,5.72,$388.23 mil
https://www.reit.com/investing/reit-directory/w-p-carey-inc,W. P. Carey Inc.,WPC,"New York, New York",Diversified,$71.00,up,3.28,0.05%,REIT,Public,Diversified,Equity,WPC,"New York Stock Exchange, Inc. (NYSE)",$70.00,$70.41 - $69.21,"2,194,112","2,417,892",$72.32 - $59.24,$11.44 bil,$1.03,5.89,$532.86 mil
https://www.reit.com/investing/reit-directory/jernigan-capital-inc,"Jernigan Capital, Inc.",JCAP,"Memphis, Tennessee",Mortgage,N/A,up,2.26,0.11%,REIT,Public,Mortgage,Mortgage,JCAP,NYSE American (NYSEMKT),$21.99,$22.05 - $21.80,"215,035","319,383",$22.60 - $16.13,$0.00,$0.35,6.37,$-4.57 mil
https://www.reit.com/investing/reit-directory/lamar-advertising-company,Lamar Advertising Company,LAMR,"Baton Rouge, Louisiana",Specialty,$73.44,up,2.46,0.03%,REIT,Public,Specialty,Equity,LAMR,NASDAQ (NASDAQ),$76.03,$75.77 - $73.22,"630,662","524,132",$80.47 - $62.10,$7.31 bil,$0.91,4.84,$546.47 mil
https://www.reit.com/investing/reit-directory/equity-commonwealth,Equity Commonwealth,EQC,"Chicago, Illinois",Office,$32.32,up,2.40,0.08%,REIT,Public,Office,Equity,EQC,"New York Stock Exchange, Inc. (NYSE)",$32.08,$32.10 - $31.44,"806,589","604,801",$32.49 - $28.10,$3.93 bil,$2.50,0.00,$136.65 mil
