url,name,ticker,address,sector,price,trend,month_return,month_return_pct
https://www.reit.com/investing/reit-directory/kennedy-wilson,Kennedy Wilson,KW,"Beverly Hills, California",Diversified,$20.00,up,1.13,0.06%
https://www.reit.com/investing/reit-directory/camden-property-trust,Camden Property Trust,CPT,"Houston, Texas",Residential,N/A,up,1.12,0.01%
https://www.reit.com/investing/reit-directory/chesapeake-lodging-trust,Chesapeake Lodging Trust,CHSP,"Arlington, Virginia",Lodging / Resorts,N/A,up,1.06,0.04%
https://www.reit.com/investing/reit-directory/sunstone-hotel-investors-inc,"Sunstone Hotel Investors, Inc.",SHO,"Irvine, California",Lodging / Resorts,$15.50,up,1.05,0.08%
https://www.reit.com/investing/reit-directory/physicians-realty-trust,Physicians Realty Trust,DOC,"Milwaukee, Wisconsin",Health care,$18.42,up,1.02,0.06%
https://www.reit.com/investing/reit-directory/hudson-pacific-properties-inc,"Hudson Pacific Properties, Inc.",HPP,"Los Angeles, California",Office,N/A,up,0.93,0.03%
https://www.reit.com/investing/reit-directory/lexington-realty-trust,Lexington Realty Trust,LXP,"New York, New York",Diversified,$8.90,up,0.92,0.12%
https://www.reit.com/investing/reit-directory/stag-industrial-inc,"STAG Industrial, Inc.",STAG,"Boston, Massachusetts",Industrial,$27.00,up,0.58,0.02%
https://www.reit.com/investing/reit-directory/ltc-properties-inc,"LTC Properties, Inc.",LTC,"Westlake Village, California",Health care,$47.55,up,0.57,0.01%
https://www.reit.com/investing/reit-directory/vereit-inc,"VEREIT, Inc.",VER,"New York, New York",Diversified,$7.87,up,0.57,0.08%
https://www.reit.com/investing/reit-directory/qts-realty-trust-inc,"QTS Realty Trust, Inc.",QTS,"Overland Park, Kansas",Data centers,N/A,up,0.56,0.01%
https://www.reit.com/investing/reit-directory/independence-realty-trust,Independence Realty Trust,IRT,"Philadelphia, Pennsylvania",Residential,$10.40,up,0.52,0.05%
https://www.reit.com/investing/reit-directory/host-hotels-resorts-inc,"Host Hotels & Resorts, Inc.",HST,"Bethesda, Maryland",Lodging / Resorts,$19.23,up,0.50,0.03%
https://www.reit.com/investing/reit-directory/retail-value-inc,Retail Value Inc.,RVI,"Beachwood, Ohio",Retail,N/A,up,0.49,0.02%
https://www.reit.com/investing/reit-directory/colony-capital-inc-0,"Colony Capital, Inc.",CLNY,"Los Angeles, California",Diversified,$6.40,up,0.43,0.08%
https://www.reit.com/investing/reit-directory/piedmont-office-realty-trust-inc,"Piedmont Office Realty Trust, Inc.",PDM,"Atlanta, Georgia",Office,N/A,up,0.43,0.02%
https://www.reit.com/investing/reit-directory/franklin-street-properties-corp,Franklin Street Properties Corp.,FSP,"Wakefield, Massachusetts",Office,$7.75,up,0.41,0.06%
